state_cluster,state_label,state_category,condition,n_cells,positive_cells,pct_positive,mean_expr,mean_expr_positive,pct_of_condition_keratinocytes
0,KC0 Basal KC,Basal KC,LE,294,79,26.87074829931973,1.501656663803077,5.978499028195167,15.72192513368984
0,KC0 Basal KC,Basal KC,Normal,478,130,27.19665271966527,1.3218615081311644,5.24404672224547,24.008036162732296
1,KC1 Unclassified KC,Unclassified KC,LE,351,143,40.74074074074074,2.004341965524032,5.12821773149092,18.77005347593583
1,KC1 Unclassified KC,Unclassified KC,Normal,328,142,43.292682926829265,2.129169723669782,5.105814629219959,16.474133601205423
10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,LE,51,5,9.803921568627452,0.7253118789043294,8.716749301743622,2.727272727272727
10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,Normal,35,2,5.714285714285714,0.24502838340074676,6.652819998553408,1.757910597689603
2,KC2 Stress-response KC,Stress-response KC,LE,238,109,45.79831932773109,2.4058731237790245,5.42281121010088,12.727272727272727
2,KC2 Stress-response KC,Stress-response KC,Normal,328,203,61.890243902439025,3.0025170807543606,4.939610494752244,16.474133601205423
3,KC3 Differentiated KC,Differentiated KC,LE,265,154,58.11320754716981,3.3533529538672284,5.873684051896077,14.171122994652407
3,KC3 Differentiated KC,Differentiated KC,Normal,232,135,58.189655172413794,2.7627369125592227,4.850794505191298,11.652435961828226
4,KC4 Junctional KC,Junctional KC,LE,225,57,25.333333333333336,1.907224296358571,7.950941534066955,12.032085561497325
4,KC4 Junctional KC,Junctional KC,Normal,206,65,31.55339805825243,2.4652126544266335,8.123727642098661,10.346559517830237
5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,LE,204,68,33.33333333333333,1.3159821618657135,4.234591732753545,10.909090909090908
5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,Normal,156,49,31.41025641025641,1.0638631388310453,3.699962660826749,7.835258663987946
6,KC6 Cycling KC,Cycling KC,LE,59,32,54.23728813559322,2.4061646543777133,4.557294545153017,3.155080213903743
6,KC6 Cycling KC,Cycling KC,Normal,81,38,46.913580246913575,2.125932878665342,4.69377463120409,4.068307383224511
7,KC7 Immune-like contaminant,Immune-like contaminant,LE,67,29,43.28358208955223,2.174368880284173,5.211343954310734,3.5828877005347595
7,KC7 Immune-like contaminant,Immune-like contaminant,Normal,55,17,30.909090909090907,1.199756523312908,4.201933439893037,2.7624309392265194
8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,LE,64,4,6.25,0.3175210492331943,7.230176141404145,3.4224598930481283
8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,Normal,50,10,20.0,0.7475393488301191,4.310987238463405,2.51130085384229
9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,LE,52,21,40.38461538461539,1.5750680468710576,4.111739988962823,2.7807486631016043
9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,Normal,42,21,50.0,1.620687710955455,3.3846980454891127,2.109492717227524
