state_cluster,state_label,state_category,P1,P4,P6,mean_delta_pp
0,KC0 Basal KC,Basal KC,-11.46183874007269,-6.464151131741161,-5.851910828025478,-7.9259668999464425
1,KC1 Unclassified KC,Unclassified KC,1.7700901871045902,8.706421102542986,-3.5941765241128305,2.2941115885115817
10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,0.6663077130165571,0.3244241471388287,1.914619350925083,0.9684504036934897
2,KC2 Stress-response KC,Stress-response KC,-17.20958406245793,0.49568266327269095,-2.809372156505912,-6.5077578518970505
3,KC3 Differentiated KC,Differentiated KC,23.374613003095973,-12.505615033315866,1.4463906581740973,4.105129542651402
4,KC4 Junctional KC,Junctional KC,2.0393054246870372,6.295700132265228,-2.483318168031545,1.9505624629735732
5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,1.5479876160990713,4.180704249956329,5.668031543827723,3.7989078032943744
6,KC6 Cycling KC,Cycling KC,-2.90752456589043,0.3943001172918068,-3.3951319381255693,-1.9694521289080642
7,KC7 Immune-like contaminant,Immune-like contaminant,0.6124646655000676,-0.4660477652167403,2.680467091295116,0.9422946638594811
8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,1.070130569390228,-1.0178807616480747,4.041552926903245,1.3646009115484663
9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,0.4980481895275273,0.05646227945396909,2.382848043676069,0.9791195042191885
