condition,total_cells,positive_cells,mean_expr,gene_count_sum,total_counts_sum,pct_positive,cpm,log1p_cpm
LE,1870,701,1.9950243176428941,1132.0,20594596.0,37.48663101604278,54.965878,4.024742
Normal,1991,812,2.0000017627302102,1271.0,25308952.0,40.7835258663988,50.219383,3.9361181
