patient_id,patient_label,state_cluster,state_label,state_category,composition_pos_pp,within_state_pos_pp,total_pos_pp,composition_expr,within_state_expr,total_expr
1,P1,0,KC0 Basal KC,Basal KC,-3.822771451726692,0.6662227910724983,-3.156548660654194,-0.18757702570669899,0.1061247207654379,-0.08145230494126109
1,P1,1,KC1 Unclassified KC,Unclassified KC,0.47921953846002335,0.7726313162983561,1.2518508547583795,0.029039802948216852,0.04326691017739979,0.07230671312561664
1,P1,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,0.10089802511393577,0.06063111743553262,0.16152914254946837,0.006831365637730796,0.01398470738895648,0.020816073026687275
1,P1,2,KC2 Stress-response KC,Stress-response KC,-10.114481886324382,-6.240343796809284,-16.35482568313367,-0.5012159876783683,-0.1794708696453952,-0.6806868573237634
1,P1,3,KC3 Differentiated KC,Differentiated KC,13.342834234098014,1.2149797381728162,14.55781397227083,0.8008174326412586,0.05263053799674227,0.8534479706380008
1,P1,4,KC4 Junctional KC,Junctional KC,0.5812020460358057,0.19952214295329115,0.7807241889890969,0.048480194610639404,0.009012895061032535,0.05749308967167194
1,P1,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,0.6034398365129284,0.5070730185146661,1.1105128550275944,0.0231965941284841,0.06391371770168613,0.08711031183017023
1,P1,6,KC6 Cycling KC,Cycling KC,-1.6652186150099735,0.33260318897685986,-1.3326154260331136,-0.07148297644369155,0.038163060838507984,-0.03331991560518356
1,P1,7,KC7 Immune-like contaminant,Immune-like contaminant,0.34706331045003824,0.9249786871270247,1.2720419975770627,0.01666449377181126,0.07191871479760359,0.08858320856941485
1,P1,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,0.23011830289143242,-0.9839209681222844,-0.7538026652308519,0.011893077810123508,-0.04023541867987098,-0.028342340869747473
1,P1,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,0.26009183230881994,-0.39469945110004334,-0.13460761879122343,0.009367346826897988,-0.012490784703979007,-0.0031234378770810187
4,P4,0,KC0 Basal KC,Basal KC,-1.6411336628972972,0.17093077302681586,-1.4702028898704815,-0.0854774995900868,0.06448340858341527,-0.02099409100667153
4,P4,1,KC1 Unclassified KC,Unclassified KC,4.051333066234541,-1.4740327742528114,2.57730029198173,0.18841927258262667,-0.05252518485308668,0.13589408772953998
4,P4,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,0.0,0.0,0.0,-0.00046497319920057697,0.0,-0.00046497319920057697
4,P4,2,KC2 Stress-response KC,Stress-response KC,0.2692069636739615,0.2601658994939154,0.5293728631678769,0.012158840558813392,0.01684513795205193,0.029003978510865322
4,P4,3,KC3 Differentiated KC,Differentiated KC,-6.930917789586788,-0.8814652305524661,-7.812383020139254,-0.3276503847431925,-0.0067130689460462014,-0.3343634536892387
4,P4,4,KC4 Junctional KC,Junctional KC,1.9372684243348672,-1.3919863001053745,0.5452821242294927,0.1398593481256817,-0.09985281107804887,0.04000653704763284
4,P4,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,1.3132782779793188,-0.6126468986775787,0.70063137930174,0.04894001456520413,-0.023872557143643967,0.025067457421560163
4,P4,6,KC6 Cycling KC,Cycling KC,0.22540823371848287,0.05846289502799194,0.2838711287464748,0.010400278678375136,-0.007867010216688642,0.0025332684616864946
4,P4,7,KC7 Immune-like contaminant,Immune-like contaminant,-0.11219668421884488,-0.08370558924575544,-0.19590227346460032,-0.004391174449602907,0.0013657783459223897,-0.003025396103680518
4,P4,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,-0.09253461469527952,-0.27680979897046376,-0.3693444136657433,-0.0015198172134684997,-0.008910451725405633,-0.010430268938874132
4,P4,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,0.02452076136286661,-0.02670438543014727,-0.0021836240672806566,0.0009217362189010264,0.007801399270147267,0.008723135489048293
6,P6,0,KC0 Basal KC,Basal KC,-1.3933121019108279,-1.7478010312405212,-3.1411131331513493,-0.08239497686471117,-0.12166830562571224,-0.2040632824904234
6,P6,1,KC1 Unclassified KC,Unclassified KC,-1.035787515424982,-0.36131591193322227,-1.3971034273582044,-0.06303202677448211,-0.049524865810260034,-0.11255689258474214
6,P6,10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,0.09573096754625414,0.20188808007279344,0.29761904761904756,0.006966218203607723,0.020478159300331332,0.027444377503939056
6,P6,2,KC2 Stress-response KC,Stress-response KC,-1.3428510344560542,-4.332763160266422,-5.675614194722477,-0.07039905609604767,-0.23774550806567876,-0.3081445641617264
6,P6,3,KC3 Differentiated KC,Differentiated KC,0.5510059650187036,0.12953695278536048,0.6805429178040641,0.020437849982261887,0.006044380599032689,0.026482230581294577
6,P6,4,KC4 Junctional KC,Junctional KC,-0.6120822218016202,-0.8267257854777246,-1.4388080072793448,-0.051421889750308244,-0.09323444605753665,-0.1446563358078449
6,P6,5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,1.6911983763612952,1.4157928277636673,3.1069912041249625,0.05602150631537337,0.07171461156496896,0.12773611788034234
6,P6,6,KC6 Cycling KC,Cycling KC,-0.4428432962772483,-0.8310420540412233,-1.2738853503184715,-0.020837569527387023,-0.04823543878116316,-0.06907300830855018
6,P6,7,KC7 Immune-like contaminant,Immune-like contaminant,0.19146193509250825,0.40377616014558687,0.5952380952380951,0.006050078204764479,0.020860912023424372,0.026910990228188852
6,P6,8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,0.0,0.0,0.0,-0.0057924596881393595,0.0,-0.0057924596881393595
6,P6,9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,1.0474057334839864,-0.7061864432201101,0.3412192902638761,0.030758576527668936,-0.008606228602538723,0.02215234792513021
