state_cluster,state_label,state_category,composition_pos_pp,within_state_pos_pp,total_pos_pp,composition_expr,within_state_expr,total_expr
0,KC0 Basal KC,Basal KC,-2.285739072178272,-0.3035491557137357,-2.589288227892008,-0.11848316738716565,0.01631327457438031,-0.10216989281278534
1,KC1 Unclassified KC,Unclassified KC,1.1649216964231943,-0.3542391232958925,0.8106825731273019,0.05147568291878713,-0.019594380161982308,0.031881302756804834
10,KC10 Mesenchymal-like KC,Mesenchymal-like KC,0.06554299755339664,0.08750639916944203,0.15304939672283865,0.004444203547379314,0.011487622229762606,0.015931825777141917
2,KC2 Stress-response KC,Stress-response KC,-3.729375319035492,-3.43764701919393,-7.1670223382294225,-0.1864854010718675,-0.133457079919674,-0.3199424809915415
3,KC3 Differentiated KC,Differentiated KC,2.3209741365099763,0.15435048680190355,2.47532462331188,0.16453496596010933,0.017320616549909587,0.1818555825100189
4,KC4 Junctional KC,Junctional KC,0.6354627495230175,-0.6730633142099359,-0.037600564686918414,0.045639217662004294,-0.061358120691517665,-0.015718903029513374
5,KC5 Myeloid-like contaminant,Myeloid-like contaminant,1.2026388302845141,0.43673964920025155,1.6393784794847657,0.0427193716696872,0.03725192404100371,0.0799712957106909
6,KC6 Cycling KC,Cycling KC,-0.6275512258562462,-0.1466586566787905,-0.7742098825350366,-0.02730675576423448,-0.0059797960531146055,-0.03328655181734908
7,KC7 Immune-like contaminant,Immune-like contaminant,0.14210952044123387,0.4150164193422854,0.5571259397835192,0.0061077991756576105,0.031381801722316784,0.037489600897974394
8,KC8 KRT7/KRT18-like KC,KRT7/KRT18-like KC,0.04586122939871764,-0.420243589030916,-0.3743823596321984,0.001526933636171883,-0.01638195680175887,-0.014855023165586989
9,KC9 Myeloid-like contaminant,Myeloid-like contaminant,0.444006109051891,-0.3758634265834336,0.06814268246845734,0.013682553191155985,-0.004431871345456821,0.009250681845699162
